"time","e","omega","d","r","kappa","g","g_n","theta","lambda_tilt","denom","f","Ztilde","y_pc","y_pc_0","y_pc_norm"
137.7,1.06907657208379,0.843930498040056,1.02418189331613,0.0383674087424328,0.147551330662155,0.029183776887385,0.03,0.50652978490092,0.585205377348638,-0.00494279723279227,2.24160417440065,0.999996817564773,15.7053277040964,0.904422758117071,17.365029310843
137.75,1.0690357395935,0.843930500716103,1.02430986626508,0.0383657015444313,0.147548770548288,0.0291829235160961,0.03,0.506536611871231,0.585211896262363,-0.0049419438615034,2.2418854508103,0.999996830562213,15.7210408870826,0.904422758117071,17.3824030255634
137.8,1.06899486443718,0.843930503381202,1.02443782426335,0.0383639945494214,0.147546210740256,0.029182070246752,0.03,0.506543438025984,0.58521841435356,-0.00494109059215927,2.24216679038232,0.999996843508093,15.7367697911109,0.904422758117071,17.3997941226883
137.85,1.06895394661995,0.843930506035397,1.02456576732329,0.0383622877572237,0.14754365123779,0.0291812170792633,0.03,0.506550263365893,0.585224931622927,-0.00494023742467062,2.2424481931617,0.999996856402611,15.7525144319104,0.904422758117071,17.4172026196087
137.9,1.06891298614689,0.843930508678732,1.02469369545725,0.0383605811676592,0.147541092040623,0.0291803640135409,0.03,0.506557087891673,0.585231448071161,-0.00493938435894823,2.24272965919341,0.999996869245967,15.7682748252256,0.904422758117071,17.4346285337332
137.95,1.06887198302308,0.84393051131125,1.02482160867758,0.0383588747805489,0.147538533148487,0.0291795110494957,0.03,0.506563911604034,0.585237963698959,-0.004938531394903,2.24301118852244,0.999996882038359,15.7840509868169,0.904422758117071,17.4520718824877
138,1.06883093725361,0.843930513932993,1.02494950699663,0.0383571685957139,0.147535974561116,0.0291786581870385,0.03,0.506570734503692,0.585244478507018,-0.00493767853244581,2.24329278119384,0.999996894779986,15.7998429324606,0.904422758117071,17.4695326833155
138.05,1.06878984884356,0.843930516544005,1.02507739042673,0.0383554626129754,0.147533416278241,0.0291778054260803,0.03,0.506577556591357,0.585250992496034,-0.00493682577148763,2.24357443725266,0.999996907471044,15.8156506779484,0.904422758117071,17.4870109536775
138.1,1.06874871779799,0.843930519144327,1.02520525898022,0.0383537568321547,0.147530858299596,0.0291769527665322,0.03,0.506584377867743,0.585257505666703,-0.00493597311193946,2.24385615674398,0.999996920111728,15.8314742390883,0.904422758117071,17.5045067110519
138.15,1.06870754412198,0.843930521734003,1.02533311266943,0.0383520512530734,0.147528300624915,0.0291761002083051,0.03,0.506591198333559,0.58526401801972,-0.00493512055371239,2.24413793971292,0.999996932702236,15.8473136317038,0.904422758117071,17.5220199729345
138.2,1.06866632782059,0.843930524313074,1.02546095150668,0.0383503458755528,0.147525743253931,0.0291752477513102,0.03,0.506598017989518,0.58527052955578,-0.0049342680967175,2.24441978620462,0.999996945242761,15.8631688716342,0.904422758117071,17.5395507568384
138.25,1.06862506889888,0.843930526881583,1.02558877550431,0.0383486406994148,0.147523186186376,0.0291743953954587,0.03,0.50660483683633,0.585277040275578,-0.00493341574086602,2.24470169626423,0.999996957733497,15.8790399747348,0.904422758117071,17.5570990802947
138.3,1.06858376736191,0.843930529439572,1.02571658467463,0.038346935724481,0.147520629421986,0.0291735431406618,0.03,0.506611654874705,0.585283550179808,-0.00493256348606913,2.24498366993694,0.999996970174637,15.8949269568767,0.904422758117071,17.5746649608514
138.35,1.06854242321471,0.843930531987082,1.02584437902996,0.0383452309505733,0.147518072960493,0.0291726909868309,0.03,0.506618472105353,0.585290059269162,-0.00493171133223815,2.24526570726796,0.999996982566373,15.9108298339468,0.904422758117071,17.5922484160746
138.4,1.06850103646235,0.843930534524155,1.02597215858261,0.0383435263775136,0.147515516801631,0.0291718389338771,0.03,0.506625288528983,0.585296567544336,-0.00493085927928436,2.24554780830254,0.999996994908899,15.9267486218482,0.904422758117071,17.6098494635476
