"time","e","omega","d","u","r","kappa","gK","gY","Delta","u_d","gU","rho","chiA","chiN","xi"
300.7,0.834160129384626,0.89459457774173,0.983287749533514,0.8742727831669,0.0220246374256431,0.0959221099085934,0.0119740366361978,0.0119740366361978,0.659677613720995,0.87012199301759,-0.00949541202523672,3.43142330147008,4.4147110510036,-0.983287749533514,4.48974479047257
300.75,0.83340744950417,0.894745705112605,0.984193006657131,0.873861179413022,0.02196219154037,0.0957510528426499,0.0119170176142166,0.0119170176142166,0.659937080692922,0.869779887799773,-0.00934082371296187,3.43303956128949,4.41723256794662,-0.984193006657131,4.488177154347
300.8,0.832653096445869,0.894893486404552,0.985101314923118,0.873456523488913,0.0219008203328411,0.0955830976371755,0.0118610325457252,0.0118610325457252,0.660191507079811,0.869444689676398,-0.00918610990845843,3.43463002373246,4.41973133865558,-0.985101314923118,4.48657541280464
300.85,0.831897119007958,0.895037912572702,0.986012620364042,0.873058811247569,0.0218405275375787,0.0954182465989711,0.011806082199657,0.011806082199657,0.660440885235634,0.869116393051903,-0.00903127749213589,3.43619463127932,4.42220725164336,-0.986012620364042,4.48493980737352
300.9,0.831139565871767,0.895178974823261,0.986926868449147,0.872668038401184,0.0217813168129243,0.09525650189779,0.0117521672992633,0.0117521672992633,0.660685207798067,0.868794992267237,-0.00887633318401893,3.43773332812361,4.42466019657275,-0.986926868449147,4.48327058267817
300.95,0.830380485598806,0.895316664613456,0.987844004089943,0.872284200528847,0.021723191740982,0.0950978655704123,0.0116992885234708,0.0116992885234708,0.660924467684404,0.868480481606392,-0.00872128354531295,3.43924606015008,4.42709006424002,-0.987844004089943,4.48156798635277
301,0.829619926628002,0.895450973651456,0.988763971645884,0.871907293083968,0.0216661558275697,0.0949423395246733,0.0116474465082245,0.0116474465082245,0.661158658087494,0.868172855302819,-0.00856613497965121,3.44073277491336,4.42949674655924,-0.988763971645884,4.47983226895491
301.05,0.828857937273014,0.895581893896261,0.989686714930247,0.871537311401653,0.0216102125021764,0.0947899255434424,0.0115966418478141,0.0115966418478141,0.661387772471721,0.867872107545718,-0.00841089373452252,3.44219342161638,4.43188013654663,-0.989686714930247,4.47806368387898
301.1,0.828094565719608,0.895709417557579,0.990612177216205,0.871174250706035,0.0215553651179243,0.0946406252885425,0.0115468750961808,0.0115468750961808,0.661611804569021,0.867578232486205,-0.00825556590295301,3.44362795108864,4.43424012830484,-0.990612177216205,4.47626248726907
301.15,0.827329860023256,0.895833537095677,0.99154030124271,0.870818106117103,0.0215016169515383,0.0944944403046219,0.0114981467682073,0.0114981467682073,0.661830748374949,0.867291224243346,-0.00810015742433917,3.44503631576601,4.43657661700872,-0.99154030124271,4.47442893793455
301.2,0.826563868106587,0.8959542452212,0.992471029221132,0.87046887265813,0.0214489712033181,0.0943513720229597,0.0114504573409866,0.0114504573409866,0.662044598144779,0.867011076910071,-0.00794467408696713,3.44641846966793,4.43888949888906,-0.992471029221132,4.47256329726078
301.25,0.825796637756635,0.896071534894951,0.993404302842777,0.87012654526383,0.0213974309971126,0.0942114217652046,0.0114038072550682,0.0114038072550682,0.662253348389651,0.866737784558961,-0.00778912153252755,3.44777436837118,4.44117867121396,-0.993404302842777,4.47066582911394
301.3,0.825028216622722,0.896185399327663,0.994340063285238,0.869791118786567,0.0213469993803092,0.0940745907470805,0.0113581969156935,0.0113581969156935,0.662456993872755,0.866471341247934,-0.007633505256445,3.44910396899115,4.44344403227639,-0.994340063285238,4.46873679975795
301.35,0.824258652214648,0.896295831979779,0.995278251218357,0.869462588002043,0.0212976793238289,0.0939408800820335,0.0113136266940112,0.0113136266940112,0.662655529605563,0.866211741025788,-0.00747783060735219,3.45040723016475,4.4456854813831,-0.995278251218357,4.46677647777491
301.4,0.823487991900603,0.896402826561183,0.996218806811172,0.869140947615944,0.0212494737221234,0.0938102907848056,0.0112700969282685,0.0112700969282685,0.662848950844116,0.865958977937628,-0.00732210278906879,3.45168411202925,4.44790291884042,-0.996218806811172,4.4647851339786
301.45,0.822716282904911,0.896506377030893,0.997161669739678,0.868826192271204,0.0212023853931732,0.0936828237749375,0.0112276079249792,0.0112276079249792,0.66303725308536,0.865713046030164,-0.00716632686429848,3.45293457619836,4.45009624593803,-0.997161669739678,4.46276304132287
301.5,0.821943572305918,0.896606477596734,0.998106779194619,0.868518316554861,0.0211564170784937,0.0935584798802124,0.0111861599600708,0.0111861599600708,0.66322043206352,0.865473939356901,-0.00701050775770932,3.45415858573951,4.45226536493413,-0.998106779194619,4.46071047481183
301.55,0.821169907034303,0.896703122715017,0.99905407388839,0.868217315003748,0.0211115714431492,0.0934372598400433,0.0111457532800144,0.0111457532800144,0.663398483746541,0.865241651983189,-0.00685465025664994,3.4553561051556,4.45441017904399,-0.99905407388839,4.45862771141817
301.6,0.820395333871442,0.8967963070902,1.00000349206218,0.867923182110168,0.0210678510757711,0.0933191643087925,0.0111063881029308,0.0111063881029308,0.663571404332589,0.865016177991155,-0.00669875901216238,3.45652710036636,4.45653059242854,-1.00000349206218,4.45651503000095
301.65,0.819619899447626,0.896886025674497,1.000954971494,0.867635912328226,0.021025258488581,0.0932041938590239,0.0110680646196746,0.0110680646196746,0.663739190246577,0.864797511484535,-0.00654283854174393,3.45767153868696,4.45862651018095,-1.000954971494,4.45437271121811
301.7,0.818843650240338,0.896972273667471,1.00190844950683,0.867355500080038,0.0209837961174187,0.0930923489846863,0.0110307829948954,0.0110307829948954,0.663901838136758,0.864585646593376,-0.00638689323214348,3.45878938880674,4.46069783831357,-1.00190844950683,4.45220103743935
301.75,0.818066632572698,0.897055046515608,1.00286386297668,0.867081939761534,0.0209434663217748,0.0929836301042285,0.0109945433680762,0.0109945433680762,0.66405934487138,0.864380577478624,-0.00623092734154565,3.45988062076932,4.462744483746,-1.00286386297668,4.45000029266162
301.8,0.817288892612014,0.897134339911892,1.00382114834053,0.866815225748013,0.0209042713848291,0.0928780375636475,0.0109593458545492,0.0109593458545492,0.664211707535394,0.864182298336578,-0.00607494500148606,3.4609452059534,4.46476635429393,-1.00382114834053,4.44777076242604
301.85,0.816510476368399,0.897210149795339,1.00478024160454,0.866555352399613,0.020866213513493,0.0927755716394645,0.0109251905464882,0.0109251905464882,0.664358923427226,0.863990803403239,-0.00591895021886984,3.46198311705372,4.46676335865826,-1.00478024160454,4.44551273373496
301.9,0.81573142969344,0.89728247235053,1.00574107835242,0.866302314066728,0.0208292948384578,0.0926762325416315,0.0108920775138772,0.0108920775138772,0.6645009900556,0.863806086958535,-0.00576294687815036,3.46299432806193,4.46873540641434,-1.00574107835242,4.44322649496919
