sigma,psi,rF,rF_tilde,rF_eff,phi2,phi1,feasible,reason,r_star,d_star,omega_star,e_star,f_star,Z_star,maxReEig,maxImEig,a1,a2,a3,H
2,0,0.054,-0,0.054,0.8500000000000001,0.9255296398943462,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,2.1845956600972625,0.9999974841184532,0.019571250024774,0.7832004294834191,-0.009201401661317122,0.6126139771253998,0.01837742541558213,-0.024014332682449874
2,0,0.054,-0,0.054,0.9,0.9787209954325616,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,2.1845956600972625,0.9999974841184532,0.01955205960716319,0.805363508145125,-0.009159868179904065,0.6478217197244717,0.01943359922895546,-0.02536756078571038
2,0,0.056999999999999995,-0,0.056999999999999995,0.5,0.5531911569204008,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,2.4631247287336318,0.9999993750103533,0.01984780782456784,0.605755070197977,-0.009792981008554894,0.3661461370544082,0.010984228693124057,-0.014569890859653614
2,0,0.056999999999999995,-0,0.056999999999999995,0.55,0.6063826130379728,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,2.4631247287336318,0.9999993750103533,0.019846312696060804,0.6341497371774243,-0.009781532024876475,0.40135251546573136,0.01204040450361293,-0.015966246986905713
2,0,0.056999999999999995,-0,0.056999999999999995,0.6,0.6595740691555447,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,2.4631247287336318,0.9999993750103533,0.01984414048053705,0.6613263232403018,-0.009770083041198058,0.4365588938770545,0.013096580314101814,-0.017361796959654206
2,0,0.056999999999999995,-0,0.056999999999999995,0.65,0.7127655252731168,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,2.4631247287336318,0.9999993750103533,0.01984144172422332,0.6874293199882764,-0.009758634057519639,0.4717652722883777,0.014152756124590693,-0.01875654077789908
2,0,0.056999999999999995,-0,0.056999999999999995,0.7,0.7659569813906887,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,2.4631247287336318,0.9999993750103533,0.01983832542159679,0.7125767274528556,-0.009747185073841222,0.5069716506997007,0.015208931935079556,-0.020150478441640324
2,0,0.056999999999999995,-0,0.056999999999999995,0.75,0.8191484375082607,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,2.4631247287336318,0.9999993750103533,0.019834872425904593,0.7368663932062844,-0.009735736090162804,0.542178029111024,0.016265107745568438,-0.021543609950877972
2,0,0.056999999999999995,-0,0.056999999999999995,0.8,0.8723398936258328,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,2.4631247287336318,0.9999993750103533,0.019831143980779342,0.7603805250410274,-0.009724287106484385,0.5773844075223472,0.01732128355605731,-0.022935935305612
2,0,0.056999999999999995,-0,0.056999999999999995,0.8500000000000001,0.9255313497434048,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,2.4631247287336318,0.9999993750103533,0.019827187325418216,0.7831889819727658,-0.009712838122805968,0.6125907859336703,0.018377459366546195,-0.02432745450584242
